,WSPD,GST,PRES,ATMP,WTMP,month_sin,month_cos,day_sin,day_cos,hour_sin,hour_cos,WDIR_sin,WDIR_cos
2022-07-03 21:00:00,2.67,4.2,1018.8399999999999,29.52,31.8,-0.4999999999999997,-0.8660254037844388,0.5712682150947923,0.8207634412072763,-0.7071067811865477,0.7071067811865474,-0.08715574274765832,0.9961946980917455
2022-07-03 22:00:00,3.7399999999999998,5.9,1018.7700000000001,29.389999999999997,31.8,-0.4999999999999997,-0.8660254037844388,0.5712682150947923,0.8207634412072763,-0.5000000000000004,0.8660254037844384,-0.9650164944723114,0.2621891786408649
2022-07-03 23:00:00,4.08,6.0,1018.5200000000001,29.48,31.889999999999997,-0.4999999999999997,-0.8660254037844388,0.5712682150947923,0.8207634412072763,-0.25881904510252157,0.9659258262890681,-0.789084084834691,0.6142852000989428
2022-07-04 00:00:00,2.763333333333333,4.3,1018.6899999999999,29.0,32.0,-0.4999999999999997,-0.8660254037844388,0.72479278722912,0.6889669190756866,0.0,1.0,0.9220884429966808,-0.38697920266075914
2022-07-04 01:00:00,2.646666666666667,4.1,1018.8299999999999,28.24,31.95,-0.4999999999999997,-0.8660254037844388,0.72479278722912,0.6889669190756866,0.25881904510252074,0.9659258262890683,0.9508765765563164,-0.3095702443009336
2022-07-04 02:00:00,3.7299999999999995,6.2,1019.4399999999999,27.02,31.9,-0.4999999999999997,-0.8660254037844388,0.72479278722912,0.6889669190756866,0.49999999999999994,0.8660254037844387,0.8925858184521256,-0.4508775406894305
2022-07-04 03:00:00,4.15,6.4,1020.0899999999999,26.580000000000002,31.839999999999996,-0.4999999999999997,-0.8660254037844388,0.72479278722912,0.6889669190756866,0.7071067811865476,0.7071067811865476,0.9515944038794383,-0.3073566177998069
2022-07-04 04:00:00,3.7700000000000005,6.0,1020.0200000000001,26.52,31.75,-0.4999999999999997,-0.8660254037844388,0.72479278722912,0.6889669190756866,0.8660254037844386,0.5000000000000001,0.9184463813430872,-0.3955455025629649
2022-07-04 05:00:00,3.15,5.3,1019.7700000000001,26.21,31.53,-0.4999999999999997,-0.8660254037844388,0.72479278722912,0.6889669190756866,0.9659258262890683,0.25881904510252074,0.9177546256839813,-0.39714789063478045
2022-07-04 06:00:00,2.81,4.5,1019.5,26.169999999999998,31.439999999999998,-0.4999999999999997,-0.8660254037844388,0.72479278722912,0.6889669190756866,1.0,6.123233995736766e-17,0.894934361602025,-0.4461978131098088
2022-07-04 07:00:00,2.9,4.8,1019.05,26.110000000000003,31.369999999999997,-0.4999999999999997,-0.8660254037844388,0.72479278722912,0.6889669190756866,0.9659258262890683,-0.25881904510252063,0.9225380894562463,-0.38590604232431874
2022-07-04 08:00:00,2.8899999999999997,4.3,1018.8299999999999,26.169999999999998,31.3,-0.4999999999999997,-0.8660254037844388,0.72479278722912,0.6889669190756866,0.8660254037844387,-0.4999999999999998,0.907044014291465,-0.421035813367491
2022-07-04 09:00:00,2.7600000000000002,4.2,1018.74,26.03,31.3,-0.4999999999999997,-0.8660254037844388,0.72479278722912,0.6889669190756866,0.7071067811865476,-0.7071067811865475,0.9402881270104189,-0.3403795502130502
